Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1287,Stalingrad,68316452,1013945,67302507,2013.csv,2013,0.014841886109659207,0.9851581138903408
1288,Open Range,68296293,58331254,9965039,2003.csv,2003,0.8540910705065646,0.1459089294934353
1289,Frequency,68106245,45010278,23095967,2000.csv,2000,0.6608832714239348,0.33911672857606523
1290,The Yin-Yang Master: Dream of Eternity,68000000,0,68000000,2020.csv,2020,0.0,1.0
1291,Shoplifters,67999335,3313513,64685822,2018.csv,2018,0.04872860889007223,0.9512713911099278
1292,Prime,67937494,22827153,45110341,2005.csv,2005,0.33600228174445174,0.6639977182555482
1293,A Beautiful Day in the Neighborhood,67925733,61704055,6221678,2019.csv,2019,0.9084046984078921,0.09159530159210796
1294,Jersey Boys,67647013,47047013,20600000,2014.csv,2014,0.6954780545890474,0.30452194541095257
1295,Bandits,67631903,41575141,26056762,2001.csv,2001,0.614726765857823,0.38527323414217696
1296,12 Strong,67450815,45819713,21631102,2018.csv,2018,0.6793055502739292,0.32069444972607075
1297,Star Trek: Nemesis,67336470,43254409,24082061,2002.csv,2002,0.6423622889646576,0.35763771103534236
1298,Moonfall,67295363,19060660,48234703,2022.csv,2022,0.28323883177508086,0.7167611682249192
1299,American Assassin,67234188,36249674,30984514,2017.csv,2017,0.5391553773208356,0.4608446226791644
1300,Boogeyman,67192859,46752382,20440477,2005.csv,2005,0.6957939086949702,0.3042060913050299
1301,War,67179155,4654000,62525155,2019.csv,2019,0.06927744178979328,0.9307225582102068
1302,The Giver,66980456,45090374,21890082,2014.csv,2014,0.6731870263767687,0.32681297362323125
1303,The Boogeyman,66978229,43244282,23733947,2023.csv,2023,0.6456468414535117,0.3543531585464883
1304,Selma,66787908,52076908,14711000,2014.csv,2014,0.779735577284439,0.22026442271556101
1305,A Violent Prosecutor,66736633,0,66736633,2015.csv,2015,0.0,1.0
1306,Thirteen Days,66579890,34592089,31987801,2000.csv,2000,0.5195576171723925,0.48044238282760754
1307,Victoria & Abdul,66558465,22245070,44313395,2017.csv,2017,0.33421849497280326,0.6657815050271968
1308,Not Another Teen Movie,66468332,38252284,28216048,2001.csv,2001,0.5754963732202577,0.4245036267797423
1309,"Love, Simon",66316289,40826341,25489948,2018.csv,2018,0.615630663531248,0.38436933646875204
1310,Mile 22,66308758,36108758,30200000,2018.csv,2018,0.5445548836851989,0.4554451163148011
1311,One Piece Film: Gold,66207073,423593,65783480,2016.csv,2016,0.00639800221949096,0.9936019977805091
1312,Barbershop 2: Back in Business,65991448,65111277,880171,2004.csv,2004,0.9866623475211516,0.013337652478848471
1313,Bad Company,65977295,30160161,35817134,2002.csv,2002,0.45712939580199524,0.5428706041980048
1314,Life of the Party,65859911,53059911,12800000,2018.csv,2018,0.8056480823364611,0.1943519176635389
1315,Beijing Love Story,65842375,428318,65414057,2014.csv,2014,0.0065052027664554936,0.9934947972335445
1316,Stuck on You,65784503,33832741,31951762,2003.csv,2003,0.5142965205650334,0.4857034794349666
1317,Escape Room: Tournament of Champions,65774490,25314753,40459737,2021.csv,2021,0.3848719009451841,0.6151280990548159
1318,Sweet November,65754228,25288103,40466125,2001.csv,2001,0.384585201121972,0.6154147988780281
1319,K-19: The Widowmaker,65716126,35168966,30547160,2002.csv,2002,0.5351649304464478,0.4648350695535522
1320,The Age of Adaline,65663276,42629776,23033500,2015.csv,2015,0.6492179281460158,0.35078207185398425
1321,Matchstick Men,65565672,36906460,28659212,2003.csv,2003,0.5628930334154129,0.43710696658458714
